name,governorate_id
مدينة نصر,1
مصر الجديدة,1
حلوان,1
المعادي,1
الزيتون,1
عين شمس,1
المرج,1
الزيتون,1
شبرا,1
العباسية,1
روض الفرج,1
السيدة زينب,1
مصر القديمة,1
الزمالك,1
المقطم,1
وسط البلد,1
التجمع الخامس,1
التجمع الثالث,1
الهرم,2
فيصل,2
الدقي,2
العجوزة,2
إمبابة,2
6 أكتوبر,2
الشيخ زايد,2
الوراق,2
البدرشين,2
الصف,2
أوسيم,2
كرداسة,2
منشأة القناطر,2
سموحة,3
محرم بك,3
سيدي جابر,3
العصافرة,3
العجمي,3
المنتزه,3
ميامي,3
فلمنج,3
زيزينيا,3
لوران,3
سان ستيفانو,3
الشاطبي,3
الجمرك,3
المنصورة,4
طلخا,4
ميت غمر,4
السنبلاوين,4
شربين,4
بلقاس,4
دكرنس,4
منية النصر,4
أجا,4
نبروه,4
بني عبيد,4
الغردقة,5
رأس غارب,5
سفاجا,5
القصير,5
مرسى علم,5
الشلاتين,5
حلايب,5
دمنهور,6
كفر الدوار,6
كوم حمادة,6
إيتاي البارود,6
أبو حمص,6
حوش عيسى,6
النوبارية,6
الرحمانية,6
المحمودية,6
رشيد,6
وادي النطرون,6
الفيوم,7
سنورس,7
إبشواي,7
يوسف الصديق,7
طامية,7
أطسا,7
طنطا,8
المحلة الكبرى,8
زفتى,8
كفر الزيات,8
السنطة,8
بسيون,8
سمنود,8
الإسماعيلية,9
فايد,9
القنطرة شرق,9
القنطرة غرب,9
التل الكبير,9
أبو صوير,9
القصاصين,9
شبين الكوم,10
منوف,10
أشمون,10
سرس الليان,10
الباجور,10
بركة السبع,10
تلا,10
قويسنا,10
الشهداء,10
المنيا,11
ملوي,11
بني مزار,11
مطاي,11
سمالوط,11
أبو قرقاص,11
دير مواس,11
العدوة,11
بنها,12
قليوب,12
شبرا الخيمة,12
طوخ,12
قها,12
الخصوص,12
شبين القناطر,12
كفر شكر,12
الخارجة,13
الداخلة,13
الفرافرة,13
باريس,13
بلاط,13
السويس,14
الجناين,14
عتاقة,14
الأربعين,14
فيصل,14
أسوان,15
إدفو,15
كوم أمبو,15
دراو,15
نصر النوبة,15
كلابشة,15
أبوسمبل,15
أسيوط,16
ديروط,16
الفتح,16
أبنوب,16
منفلوط,16
أبو تيج,16
الغنايم,16
البداري,16
ساحل سليم,16
صدفا,16
بني سويف,17
الواسطى,17
ناصر,17
إهناسيا,17
ببا,17
سمسطا,17
الفشن,17
بورسعيد,18
العرب,18
الزهور,18
الضواحي,18
الشرق,18
الجنوب,18
الرسوة,18
دمياط,19
رأس البر,19
الزرقا,19
كفر سعد,19
كفر البطيخ,19
فارسكور,19
السرو,19
الزقازيق,20
العاشر من رمضان,20
بلبيس,20
منيا القمح,20
فاقوس,20
أبو كبير,20
أبو حماد,20
كفر صقر,20
ههيا,20
الإبراهيمية,20
ديرب نجم,20
القرين,20
شرم الشيخ,21
دهب,21
نويبع,21
الطور,21
سانت كاترين,21
أبو رديس,21
أبو زنيمة,21
رأس سدر,21
كفر الشيخ,22
سيدي سالم,22
قلين,22
الحامول,22
دسوق,22
بلطيم,22
بيلا,22
مطوبس,22
فوه,22
مرسى مطروح,23
الحمام,23
العلمين,23
الضبعة,23
سيدي براني,23
النجيلة,23
السلوم,23
سيوة,23
الأقصر,24
البياضية,24
القرنة,24
أرمنت,24
الزينية,24
الطود,24
إسنا,24
قنا,25
نجع حمادي,25
قفط,25
قوص,25
دشنا,25
أبوتشت,25
نقادة,25
فرشوط,25
العريش,26
الشيخ زويد,26
رفح,26
بئر العبد,26
الحسنة,26
نخل,26
سوهاج,27
أخميم,27
طهطا,27
طما,27
جهينة,27
جرجا,27
المراغة,27
البلينا,27
ساقلتة,27
المنشأة,27
